player_id,name,age,gender,country,height,weight,ball_controlling_skills,body_reflexes,body_balance,jumping_skills,penalties_conversion_rate,mental_strength,goalkeeping_skills,defending_skills,passing_skills,dribbling_skills,shot_accuracy,body_strength_stamina,max_running_speed,strong_foot,behaviour_rating,matches_played,fitness_rating,trophies_won,dedication_level,coaching,years_of_experience,no_of_disqualifications,selection
PLID_4964,Keva Horan,23,M,Ukraine,6'2,176lbs,77.0,58.0,47.0,59.0,41.0,73.0,13.0,69.0,70.0,36.0,50.0,72.0,24.4,Right,7.7,,8.1,2.0,High,Talent Hunt,8.0,0.0,1
PLID_11234,Herma Tann,18,M,Russia,5'10,148lbs,54.0,69.0,70.0,62.0,53.0,43.0,10.0,30.0,50.0,30.0,53.0,54.0,22.6,Any,5.3,0.0,,3.0,Medium,Source,3.0,0.0,0
PLID_19127,Eilene Kizer,16,F,Spain,6'2,172lbs,34.0,43.0,45.0,69.0,49.0,45.0,10.0,57.0,37.0,18.0,,66.0,23.2,Left,4.7,0.0,6.6,5.0,Low,Academy,2.0,0.0,1
PLID_17467,Andrea Badgett,27,M,Chile,5'11,165lbs,79.0,73.0,76.0,86.0,81.0,80.0,3.0,85.0,80.0,40.0,79.0,78.0,21.2,Right,8.6,113.0,8.6,6.0,Medium,Academy,13.0,16.0,1
PLID_9661,Jeremiah Bumbalough,19,F,Argentina,5'8,158lbs,47.0,61.0,74.0,57.0,49.0,35.0,9.0,60.0,39.0,34.0,35.0,56.0,23.4,Right,,0.0,5.7,5.0,Medium,Academy,4.0,0.0,0
PLID_10351,Tandra Tijerina,21,M,Guinea,6'0,174lbs,63.0,69.0,65.0,65.0,55.0,65.0,11.0,31.0,40.0,34.0,52.0,74.0,30.4,Right,6.3,0.0,6.9,3.0,Medium,Academy,7.0,0.0,0
PLID_21799,Narcisa Garnes,24,F,China PR,5'10,148lbs,64.0,68.0,71.0,53.0,42.0,55.0,12.0,66.0,68.0,36.0,60.0,66.0,28.3,Left,6.9,1.0,7.3,2.0,High,Academy,10.0,0.0,0
PLID_20082,Joyce Boxx,21,F,United States,5'11,168lbs,58.0,60.0,57.0,74.0,34.0,57.0,12.0,58.0,58.0,28.0,48.0,70.0,22.3,Right,5.9,1.0,6.8,5.0,Medium,Talent Hunt,6.0,0.0,1
PLID_22917,Josette Mcgrew,25,M,Italy,6'0,176lbs,67.0,70.0,58.0,65.0,50.0,75.0,9.0,66.0,65.0,36.0,58.0,76.0,28.3,Right,6.9,0.0,8.2,2.0,Medium,Academy,11.0,0.0,1
PLID_9364,Hai Brandel,16,M,Belgium,6'2,183lbs,49.0,56.0,61.0,62.0,27.0,54.0,12.0,58.0,49.0,19.0,33.0,66.0,24.4,Right,4.7,0.0,6.1,2.0,Medium,Unknown,2.0,0.0,1
PLID_15112,Margarito Como,17,F,Germany,6'1,185lbs,84.0,83.0,75.0,64.0,54.0,66.0,11.0,38.0,78.0,46.0,68.0,69.0,29.5,Right,8.1,39.0,7.5,5.0,Medium,Unknown,2.0,4.0,1
PLID_254,Leslie Dahmer,17,M,England,5'9,156lbs,56.0,60.0,71.0,46.0,62.0,58.0,11.0,44.0,57.0,29.0,55.0,58.0,28.1,Left,5.1,1.0,6.2,5.0,Medium,Academy,3.0,0.0,1
PLID_16973,Alysa Valenzuela,29,M,Italy,6'1,202lbs,42.0,47.0,75.0,69.0,32.0,65.0,13.0,61.0,42.0,18.0,36.0,76.0,19.6,Left,4.7,1.0,6.7,3.0,Medium,Talent Hunt,15.0,0.0,0
PLID_10774,Christiana Hsieh,20,M,Colombia,5'6,154lbs,66.0,90.0,67.0,67.0,58.0,78.0,10.0,36.0,68.0,34.0,56.0,62.0,27.8,None,5.6,0.0,6.6,2.0,Medium,Unknown,5.0,0.0,1
PLID_22095,Kerri Propp,25,M,Brazil,5'9,154lbs,76.0,70.0,77.0,44.0,77.0,80.0,12.0,77.0,74.0,40.0,59.0,82.0,29.4,Right,8.1,0.0,9.7,4.0,High,Academy,11.0,0.0,1
PLID_2351,Stephane Verne,20,F,France,5'10,161lbs,61.0,69.0,69.0,53.0,55.0,55.0,12.0,55.0,58.0,33.0,49.0,54.0,27.1,Right,5.2,,5.2,3.0,High,Academy,5.0,0.0,0
PLID_12339,Hal Scherrer,17,F,Netherlands,5'8,145lbs,70.0,69.0,80.0,46.0,52.0,57.0,11.0,41.0,62.0,40.0,58.0,63.0,27.6,Left,4.4,1.0,6.8,5.0,Medium,Academy,3.0,0.0,1
PLID_20644,Emmy Castilleja,28,M,England,5'9,143lbs,78.0,75.0,75.0,52.0,60.0,71.0,14.0,74.0,77.0,40.0,,68.0,27.2,Right,,,7.7,2.0,High,Academy,13.0,6.0,1
PLID_15847,Dean Postma,16,F,Spain,5'10,152lbs,52.0,62.0,58.0,53.0,30.0,47.0,10.0,52.0,51.0,24.0,40.0,56.0,23.4,Right,5.1,0.0,6.1,2.0,Medium,Academy,1.0,0.0,1
